"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸"
"12996","zh-CN","æ£ëø??Ë°Íë?","https://chinese.visitseoul.net/nature/æ£ëø??Ë°Íë?£¨á´Ò³?ÓÛ×ù£©/CNP012993?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP012993","  âÏ?ã¼çµÔôøİ?æ£ëø?Ô×8? "," âÏ?ã¼çµÔôøİ?æ£ëø?ÖØ330? ?Ë°ßÂ??İ»æ£ëø?ãáãÓñéãı","+82-2-3780-0561","https://hangang.seoul.go.kr/www/contents/669.do?mid=473","","","","ò¢?5?? æ£ëøÔ¤Ï¢ó× 3?õóÏ¢,  213m"
"5035","zh-CN","æ£ëø??Ë°?×µßæ?Íë?","https://chinese.visitseoul.net/nature/æ£ëø??Ë°?×µßæ?Íë?/CNP005032?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP005032","150-010 âÏ?÷å?ã¼çµÔôøİ?æ£ëø?Ô× 4-9 ","07323 âÏ?÷å?ã¼çµÔôøİ?æ£ëøÔ×ÖØ 48 ","+82-2-3780-0561","http://hangang.seoul.go.kr/archives/316","ìíõóò¸ìíÕª","ñ²ìéò¸ñ²ìí","","ò¢?9?? ãæ×ù??Ë°ó× 4?õóÏ¢,  643m"
"24107","zh-CN","Ë°à¤?ò¢ßæ?Íë?","https://chinese.visitseoul.net/nature/Ë°à¤?ò¢ßæ?Íë?/CNP001411?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP001411"," âÏ?ã¼Ë°à¤?Û¨ü£Ô×47  ","07518 âÏ?ã¼Ë°à¤??ô¹ÖØ27Ê¶279-23 ","+82-2-3780-0621","https://hangang.seoul.go.kr/www/contents/675.do?mid=482","??ìÑ?¡¢ãé?Û°Ûö¡¢?ú¼?ÙÍÔõ??ãáãÓ??ÍÅâÏ?ã¼ÍëÍìÜ×????ó×¡£","","","ò¢?5??  Û¨ü£ó×  1?õóÏ¢,  2km"
"2208","zh-CN","÷îÕÃØŞÍë?","https://chinese.visitseoul.net/nature/÷îÕÃØŞÍë?/CNP002189?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP002189","156-849 âÏ?ã¼?íÍ?ãæÓŞÛ°Ô×722 ","07062 âÏ?÷å?ã¼?íÍ?ãæÓŞÛ°Ô×395?£¨æ£ëøÓŞÛ°ÖØ20Ê¶33?£© ","+82-2-2181-1114","http://parks.seoul.go.kr/template/sub/boramae.do","Íë?ìíßÈ?Û¯","","","ò¢?ãæ×ù? ÷îÕÃÚ¸?êÂó× 1?õóÏ¢,  69m"
"11234","ja","«Ş«İ«Ç«®«ç(Ø«øİÓŞÎé)ù¦ªÎÔ³ «½«¦«ëßäÍëê® ","https://japanese.visitseoul.net/nature/seoul-color-park-jp/JPP011234?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP011234","150010 «½«¦«ëã¼çµÔôøİ?æ£ëøÓöÔ× 8","07337 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«É«ó«í330 (æ£ëøÓöÔ×)","+82-2-3780-0561","","24ãÁÊàËÒÛ¯","","","ò¢ù»?5?àÊ¡¸«è«¤«Ê«ë¡¹?2ÛãõóÏ¢,  490m"
"38835","ja","«¦«ó«Ü«ó«µ«ó(ëíÜèß£) ø¢ÊÇïÍ ","https://japanese.visitseoul.net/nature/«¦«ó«Ü«ó«µ«óëíÜèß£-ø¢ÊÇïÍ/JPP038785?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP038785"," «½«¦«ëã¼«½«ó«É«ó(àòÔÔ)?«¯«à«ÛÔ×4«¬1539 ","04743 «½«¦«ëã¼«½«ó«É«ó(àòÔÔ)?«È«Ã«½«À«ó«í362 (ëíÜèß£ ø¢ÊÇïÍ Íëñë«È«¤«ì) ","+82-2-2286-6061","","00:00-24:00","?ìí","","ò¢ù»? ÌÈëùñéäçàÊ¡¸«¦«ó«Ü«ó¡¹?1ÛãõóÏ¢,  886m"
"36975","ja","«µ«ë«´«¸«®«ë","https://japanese.visitseoul.net/nature/«µ«ë«´«¸«®«ë/JPP036971?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP036971"," «½«¦«ëã¼àòÔÔ?á¡â©Ô×2Ê¶284-108 ","04792 «½«¦«ëã¼«½«ó«É«ó(àòÔÔ)?«¯«¡«ó«Ê«ë«í200 ","","","","","","ò¢ù»?2?àÊ¡¸«è«ó«À«×¡¹?2ÛãõóÏ¢,  355m"
"22764","zh-TW","ØŞü£ĞÎ?Íëê®","https://tchinese.visitseoul.net/nature/ØŞü£ĞÎ?Íëê®/TCP001799?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP001799","157-030 âÏì³ã¼Ë°à¤Ï¡Ôôõ½Ô×630-14 ","07550 âÏì³ã¼Ë°à¤Ï¡åÕô¹ÖØ62Ê¶14 (Ôôõ½Ô×) ","+82-2-2600-4181","http://parks.seoul.go.kr/parks/detailView.do?pIdx=18","24á³ãÁ","ñÎìé~ñÎìí","","ò¢ôÑ9ûÜàÊ ñôÚ·ó× 4ûÜõóÏ¢,  59m"
"2209","zh-TW","÷îÕÃÚ¸Íëê®","https://tchinese.visitseoul.net/nature/÷îÕÃÚ¸Íëê®/TCP002189?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP002189","156-849 âÏì³ã¼ÔŞíÍÏ¡ãæÓŞÛ°Ô×722 ","07062 âÏì³ã¼ÔŞíÍÏ¡æ£ëøÓŞÛ°ÖØ20Ê¶33 ","+82-2-2181-1114","http://parks.seoul.go.kr/template/sub/boramae.do","Íëê®âËãÁËÒÛ¯","","","ò¢ôÑãæ×ùàÊ ÷îÕÃÚ¸ì¢êÂó× 1ûÜõóÏ¢,  69m"
"29823","ja","«Á«ã«à«·«ë(œüãø)¡¤«Ï«ó«¬«ó(ùÓË°)Íëê®","https://japanese.visitseoul.net/nature/jamsil-hangang-park-jp/JPP004023?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP004023","138-220 «½«¦«ëã¼áæ÷ç?œüãøÔ×1-1 ","138-220 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«Ï«ó«¬«é«à«í65  (œüãøÔ×)","+82-2-3780-0511","https://japanese.seoul.go.kr/Ü×Ùâ/«««ë«Á«ã?«¨«ó«¸«ç«¤/ô¹/2-œüãø/","","","","ò¢ù»?2?àÊ/8?àÊ¡¸«Á«ã«à«·«ë¡¹?5ÛãõóÏ¢,  1.4km"
"27488","ja","«½«¦«ëãÕÚªê®","https://japanese.visitseoul.net/nature/seoul-botanic-park-jp/JPP027397?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP027397"," «½«¦«ëã¼Ë°à¤?Ø«ÍÛÔ× 812","07789 «½«¦«ëã¼«««ó«½(Ë°à¤)?«Ş«´«ó«É«ó«í161 (Ø«ÍÛÔ×)«½«¦«ëãÕÚªê®","+82-2-2104-9716","http://botanicpark.seoul.go.kr/","3~10êÅ 9:30-18:00(õÌğûìıíŞ17:00) (KST) 11~2êÅ 9:30-17:00(õÌğûìıíŞ16:00) (KST)","ûıèøìí~ìíèøìí Íëê®(ËÒª«ªìª¿ßµ¡¢ûÉâ©ê®¡¢?ò¢ê®)£ºÒ´ñéÙíıÌ","êÅèøìí","ò¢ù»?9?àÊ/Íöùû?Ô³¡¸«Ş«´«ó«Ê«ë¡¹?3ÛãõóÏ¢,  524m"
"35915","ja","«Ï«ó«¬«ó(ùÓË°)éıâúÍëê®","https://japanese.visitseoul.net/nature/ùÓË°éıâúÍëê®/JPP035118?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP035118"," «½«¦«ëçµÔôøİ?æ£ëøÓöÔ×8 ","07337 «½«¦«ëã¼«è«ó«É«¥«ó«İ(çµÔôøİ)?«è«¤«É«ó«í330  (æ£ëøÓöÔ×) / «è«¤«É«Ï«ó«¬«ó(æ£ëøÓöùÓË°)Íëê®,  «¤«Á«ç«óùÓË°Íëê®(íÂù¡ªËªèªÃªÆì¶ªÊªêªŞª¹¡£)","","","24ãÁÊà","Ò´ñéÙíıÌ","","íÂù¡ªËªèªÃªÆì¶ªÊªêªŞª¹¡£"
"29926","zh-CN","éÚì¼Ô×Í¢ÍÛ","https://chinese.visitseoul.net/nature/éÚì¼Ô×Í¢ÍÛ1/CNP029798?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP029798","142-871 âÏ?ã¼Ë°İÁ?éÚì¼Ô×234-1 ","01000 âÏ?ã¼Ë°İÁ?ß²?ÖØ181Ê¶141-5 (éÚì¼Ô×) ","+82-2-997-8365(İÁ?ß£?Ø¡Íë?)","","","","","ò¢? éÚì¼ãæ??  İÁ?ß£éÚì¼ó×  1?õóÏ¢,  1.5km"
"16376","ja","«½«¯«Á«ç«ó(à´õ½)ûÉå¨ÌØ","https://japanese.visitseoul.net/nature/seokchon-lake-at-night-jp/JPP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP016328","138-915 «½«¦«ëã¼áæ÷ç?œüãøÔ× 47","05608 «½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«µ«à«Ï«¯«µ«í136 (œüãøÔ×)","+82-2-412-0190","","?ìí","","","ò¢ù»?2/8?àÊ¡¸  «Á«ã«à«·«ë?(«½«ó«Ñ??)¡¹?2ÛãõóÏ¢,  280m"
"1841","ja","«½«¦«ëªÎßµ","https://japanese.visitseoul.net/nature/seoul-forest-jp/JPP001838?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP001838","133-111 «½«¦«ëã¼àòÔÔ?á¡â©Ô×1Ê¶685-20 ","04770 «½«¦«ëã¼«½«ó«É«ó(àòÔÔ)?«È«¥«¯«½«à«í273(«½«ó«¹«É«ó(á¡â©Ô×)1«¬¡¢ÔÔİ»Íëê®åùÊ¬«»«ó«¿?) ","+82-2-460-2905","https://parks.seoul.go.kr/template/sub/seoulforest.do","«½«¦«ëªÎßµªÏ24ãÁÊàËÒÛ¯ª·ªŞª¹¡£(ª¿ªÀª·¡¢ìéİ»ªÎã¿àâªÏ××éÄãÁÊàğ¤ùÚª¢ªê) í»æÔßæ÷¾ªÎßµ:05:30-21:30KST(ßæ÷¾ÜÁîï?æ´) Íà?ãÕÚªê®:10:00-17:00(?ñÎêÅèøìíıÌÎ½)/ÔÏÌù(11?4êÅ)Ó­õêê¡?11:00-16:00(15:30ªŞªÇìıíŞÊ¦Òö¡¢?ñÎêÅèøìíıÌÎ½) ïÊ?ïÔê®:10:00-17:00(5?10êÅê¡?¡¢?ñÎêÅèøìíıÌÎ½) í»æÔ???ã§ê®:«×«í«°«é«àê¡?ãÁªËËÒê® ò¢ØüİÄâ©ªÎÊ³ÔÑãÁÊà:5~9êÅªËÊ³ÔÑ(êÅèøìíïÒÑ¢ïÃ?) ? 5êÅ¡¢6êÅ¡¢9êÅ:13:00¡¢14:00¡¢15:00¡¢16:00/30İÂÊàªºªÄÍª4üŞ ? 7êÅ¡¢8êÅ:12:00¡¢13:00¡¢14:00¡¢15:00¡¢16:00/30İÂÊàªºªÄÍª5üŞ Û¾Ùıíº«»«ó«¿?:Ò´ñéÙíıÌ¡¢10:00~18:00 ó³ëõí­¡¢«Ù«Ó?««?¡¢?ú¼ÜÍğ¾ó³«ì«ó«¿«ë:õÌÓŞ2ãÁÊàÙíÖù«ì«ó«¿«ë£¨¡ØãóİÂ¿Ù¥ßöªòò¥?£© «³«ß«å«Ë«Æ«£«»«ó«¿?:«×«í«°«é«àªäî÷ãÆªÊªÉªÎê¡?ãÁªË«ª?«×«ó","","","ò¢ù»?2?àÊ¡¸«È«¥«¯«½«à¡¹?8ÛãõóÏ¢,  537m ò¢ù»?«¹«¤«ó¡¤«Ö«ó«À«ó(â©ìÒ¡¤İÎÓĞ)àÊ¡¸«½«¦«ë«¹«×¡¹?3/4ÛãõóÏ¢,  242m"
"36992","zh-CN","ßúõ®Ùşûù??Íë?","https://chinese.visitseoul.net/nature/ßúõ®Ùşûù??Íë?/CNP036989?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP036989"," âÏ?ã¼ßúõ®?ÕŞî¦Ô×200 ","06769 âÏ?ßúõ®??ÙùÖØ12ÖØ40 ","+82-2-2155-8601","https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp","","","","ò¢?ãæİÎÓĞ? ÕŞî¦ã¼ÚÅñı×ùó× 5?õóÏ¢,  681m"
"36995","zh-TW","ßúõ®ÙşûùçİâúÍëê®","https://tchinese.visitseoul.net/nature/ßúõ®ÙşûùçİâúÍëê®/TCP036989?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP036989"," âÏì³ã¼ßúõ®Ï¡ÕŞî¦Ô×200 ","06769 âÏì³ã¼ßúõ®Ï¡äÛß£ÖØ12Ê¶40 (ÕŞî¦Ô×£¬ßúõ®ÙşûùÍëê®) ","+82-2-2155-8601","https://www.seocho.go.kr/site/seocho/04/10405010200002015070703.jsp","24á³ãÁËÒÛ¯","","","ò¢ôÑãæİÎÓĞàÊ ÕŞî¦ã¼ÚÅñı×ùó× 5ûÜõóÏ¢,  681m"
"23770","zh-CN","â©Õªß£","https://chinese.visitseoul.net/nature/â©Õªß£1/CNP003165?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP003165","139-200 âÏ?ã¼ûØê«?ß¾Í¢Ô× ","139-200 âÏ?ã¼ûØê«?ß¾Í¢Ô×ìé? ","","","","","","ò¢?7??  â©Õªß£ó×  1?õóÏ¢,  72m ò¢?4??  ÓÑ?ó×  5?õóÏ¢,  291m"
"29847","zh-TW","éÚì¼Ô×Í¢ÍÛ","https://tchinese.visitseoul.net/nature/éÚì¼Ô×Í¢ÍÛ/TCP029798?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP029798","142-871 âÏì³ã¼Ë°İÁÏ¡éÚì¼Ô×234-1 ","01000 âÏì³ã¼Ë°İÁÏ¡ß²åÕÖØ181Ê¶141-5 (éÚì¼Ô×) ","+82-2-997-8365(İÁùÓß£ÏĞØ¡Íëê®)","","","","","ò¢ôÑ éÚì¼ãæàâàÊ  İÁùÓß£éÚì¼ó×  1ûÜõóÏ¢,  1.5m"
"23828","zh-CN","ÊöÖÚô»ßæ?Íë?","https://chinese.visitseoul.net/nature/ÊöÖÚô»ßæ?Íë?/CNP002263?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP002263","153-815  âÏ?ã¼ĞÛô¹??ß£Ô×373 ìé? 371?375, 373ÀÏ´ë ","08556 âÏ?ã¼ĞÛô¹??ß£ÖØ54Ê¶188 (ĞÛô¹?ÚÅÙşûù?ëÀñéãı) ","+82-2-2627-1655","http://parks.seoul.go.kr/parks/detailView.do?pIdx=39","","","","ò¢? ãæ×ù/2??  ãæ×ùó×  4?õóÏ¢, ÷³ã«Î®ä¿10?ËÜÚÅ?ÍëÎß?£¬ò¸åÇÎÙõ½.ÚÅÛÁ?ëÀ?ÍëÎß?ó×ù»?ı¨ÜÆú¼494m"
"22376","zh-TW","ÊöÖÚô»ßæ÷¾Íëê®","https://tchinese.visitseoul.net/nature/ÊöÖÚô»ßæ÷¾Íëê®/TCP002263?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP002263","153-815 âÏì³ã¼ĞÛô¹Ï¡Ô¾ß£Ô×373 ìéÓá ","08556 âÏì³ã¼ĞÛô¹Ï¡Ô¾ß£ÖØ54Ê¶188 (ĞÛô¹Ï¡ÚÅÙşûùô÷ëÀñéãı) ","+82-2-2627-1655","http://parks.seoul.go.kr/parks/detailView.do?pIdx=39","","","","ò¢ôÑ ãæ×ù/2ûÜàÊ  ãæ×ùó×  4ûÜõóÏ¢, Î®ä¿10ûÜŞäÏ¡Íëó³£¬î¤¡¸ä¹?à¤ä¬õ½?ÚÅÛÁ?ëÀíŞ¡¹ó×ù»ó³ı­ÜÆú¼å³494m"
"12312","ja","«Ò«ç«ó«Ç«¦«©«ó«½(úŞÓÛê½à¤)Íëê®","https://japanese.visitseoul.net/nature/hyundai-wonseo-park-jp/JPP012311?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP012311"," «½«¦«ëã¼ñ¤ÖØ?ê½à¤Ô×181 "," «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«Á«ã«ó«É«Ã«¯«ó«®«ë19 (ê½à¤Ô×)","","","","","","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?3ÛãõóÏ¢,  362m"
"28529","zh-CN","ŞäòÃÍë?","https://chinese.visitseoul.net/nature/ŞäòÃÍë?/CNP028280?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP028280","110-054 âÏ?ã¼?ÖØ?ŞäòÃÔ×1-28 ","03027 âÏ?ã¼?ÖØ?ŞäòÃÖØ9Ê¶5 (ŞäòÃÔ×) ","+82-2-2148-2835","https://chinese.seoul.go.kr/Ü×?/Ùşûù/Íë?/?pidx=4","","","îïÒ´ÙéıÌ","ò¢?3?? ÌØÜØ?ó× 1?õóÏ¢,  337m"
"28701","zh-CN","ÛÜÛí??Íë?","https://chinese.visitseoul.net/nature/ÛÜÛí??Íë?/CNP028656?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP028656","100-873 âÏ?ñé???Ô×1Ê¶ 100-5 ","04633 âÏ?ñé?÷ÜÍ¢ÖØ8Ê¶ 49-4 ","+82-2-3783-5900","","","îïÒ´?Û¯","","ò¢?1/4??/ÌÈ?ñéäç?/Ïõ??ÖØ âÏ?ó× 10?õóÏ¢,  679m ò¢?4?? ??ó× 4?õóÏ¢,  512m"
"28686","zh-TW","ÛÜÛíÎÆíŞÍëê®","https://tchinese.visitseoul.net/nature/ÛÜÛíÎÆíŞÍëê®/TCP028656?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP028656","100-873 âÏì³ã¼ñéÏ¡üåúçÔ×1Ê¶100-5 ","04633 âÏì³ã¼ñéÏ¡÷ÜÍ¢ÖØ8Ê¶49-4 ","+82-2-3783-5900","","","îïÒ´ËÒÛ¯","","ò¢ôÑ4ûÜàÊ üåúçó× 4ûÜõóÏ¢,  512m ò¢ôÑ1/4ûÜàÊ/ÌÈëùñéäçàÊ/Ñ¦íŞôÑÖØ âÏì³ó× 10ûÜõóÏ¢,  679m"
"29844","zh-TW","ÛÜŞŞãøÍ¢ÍÛ","https://tchinese.visitseoul.net/nature/ÛÜŞŞãøÍ¢ÍÛ/TCP029797?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP029797","110-830 âÏì³ã¼ñ£ÖØÏ¡ãæç½Ô×115 ","03019 âÏì³ã¼ñ£ÖØÏ¡á©ËüïÍÖØ6Ê¶98 ","+82-2148-2854","","","","","ò¢ôÑ3ûÜàÊ ÌØÜØÏàó× 3ûÜõóÏ¢,  ÷³ã«1711¡¢7018¡¢7016ò¨àÊ÷éŞÍ£¬î¤í¹ùÇÚ¦âÊÔ³ìıÏ¢.à´÷çïÍó×,  514m"
"29925","zh-CN","ÛÜŞŞãøÍ¢ÍÛ","https://chinese.visitseoul.net/nature/ÛÜŞŞãøÍ¢ÍÛ1/CNP029797?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP029797","110-830 âÏ?ã¼?ÖØ?ãæ?Ô×115 ","03019 âÏ?ã¼?ÖØ?á©?ïÍÖØ6Ê¶98 ","+82-2148-2854","","","","","ò¢?3?? ÌØÜØ?ó× 3?õóÏ¢,  ÷³ã«1711, 7018, 7016ò¨?ÍëÎß, í¹ùÇ?âÊÔ³£¬à´÷çïÍÍëÎß?ó×,  514m"
"37694","zh-CN","ÛÜ?ß£","https://chinese.visitseoul.net/nature/ÛÜ?ß£/CNP037529?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP037529"," âÏ?à¤ÓŞ??ûğëÚÔ× ","03651 âÏ?à¤ÓŞ??ûğëÚÔ× ÜôÔÒîÜÔôß£ìıÏ¢Ê¦Òöêóá¶ÜôÔÒ","","","","","","ò¢?3ûÜàÊ ûğğ­ó× 3ûÜõóÏ¢, ÷³ã«à¤ÓŞÚ¦14ûÜŞäÏ¡÷éŞÍ£¬î¤ß²àøÖàê½ÍëéÕó×,  294m"
"29974","zh-CN","?øİ?Ë°Íë?","https://chinese.visitseoul.net/nature/?øİ?Ë°Íë?/CNP003968?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP003968","137-040 âÏ?ã¼ßúõ®??øİÔ× 115-5 ","137-040 âÏ?ã¼ßúõ®?ãæ?øİÖØ11Ê¶ 39 (?øİÔ×) ","+82-2-591-5943","https://hangang.seoul.go.kr/archives/46727","24á³?  [êÅÎÃóôûö?ô»øúæÑ??] Ó¿Ìù(4~6êÅ, 9~10êÅ) : (Øß?20İÂ?) 12:00, 19:30, 20:00, 20:30, 21:00 èÚÌù(7~8êÅ) : (Øß?20İÂ?) 12:00, 19:30, 20:00, 20:30, 21:00, 21:30  *?ÛÁò­?ÕôÕÈ?£¬?ĞÆËß?ßÚ?Ëì??ïÎ?ô»îÜ?ú¼¡£","","","ò¢?3/7/9??  ÍÔáÜ÷éŞÍËÔ?ó×  8-1?õóÏ¢,  1.1km"
"29982","zh-TW","ÚïøİùÓË°Íëê®","https://tchinese.visitseoul.net/nature/ÚïøİùÓË°Íëê®/TCP003968?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP003968","137-040 âÏì³ã¼ßúõ®Ï¡ÚïøİÔ×115-5 ","137-040 âÏì³ã¼ßúõ®Ï¡ãæÚïøİÖØ11Ê¶39 (ÚïøİÔ×) ","+82-2-591-5943","https://hangang.seoul.go.kr/archives/46727","24á³ãÁËÒÛ¯  Ó¿Ìù£¨4~6êÅ£¬9~10êÅ£©£ºØßó­20İÂñ¤£¬12:00¡¢19:30¡¢20:00¡¢20:30¡¢21:00 èÚÌù£¨7~8êÅ£©£ºØßó­20İÂñ¤£¬12:00¡¢19:30¡¢20:00¡¢20:30¡¢21:00¡¢21:30  *?ÖõÛÁò­Òöê¹ÕÈŞ¨£¬ĞÆËàô¸Ñ¨ï×üÏİÄô»øúæÑÊ¦ÒöüåíÕãÁïÎò­ê¡ú¼","","","ò¢ôÑ3/7/9ûÜàÊ  ÍÔáÜ÷éŞÍËÔê¡ó×  8-1ûÜõóÏ¢,  1.1km"
"2167","en","Yeouido Park","https://english.visitseoul.net/nature/à´İÖŞÑ/ENP002161?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP002161","150-010 Yeouido-dong, Yeongdeungpo-gu, Seoul ","07243 68, Yeouigongwon-ro, Yeongdeungpo-gu, Seoul ","+82-2-761-4078","http://parks.seoul.go.kr/template/sub/yeouido.do","","","","Subway Lines 5/9   Yeouido Station  Exit 3,  651m"
"1785","zh-CN","à´õ½ûÉÍë?","https://chinese.visitseoul.net/nature/à´õ½ûÉÍë?/CNP001136?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP001136","138-915 âÏ?ã¼áæ÷ç?ß²?ŞÍÖØ136  ","05608 âÏ?ã¼áæ÷ç?ß²?ŞÍÖØ136  ","+82-2-412-0190","","24á³??Û¯","ñ²ìéò¸ñ²ìí","","ò¢?2/8?? œüãøó× 2?õóÏ¢,  282m"
"1786","zh-TW","à´õ½ûÉÍëê®","https://tchinese.visitseoul.net/nature/à´õ½ûÉÍëê®-¼®ÃÌÈ£¼ö°ø¿ø/TCP001136?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP001136","138-915 âÏì³ã¼áæ÷çÏ¡ß²ùÊŞÍÖØ136 ","05608 âÏì³ã¼áæ÷çÏ¡ß²ùÊŞÍÖØ136 ","+82-2-412-0190","","24á³ãÁ","ñÎìé~ñÎìí","Ùí","ò¢ôÑ2/8ûÜàÊ íÙãøó× 2ûÜõóÏ¢,  282m"
"16473","zh-TW","à´õ½ûÉå¨ÌØ","https://tchinese.visitseoul.net/nature/à´õ½ûÉå¨ÌØ-TC/TCP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP016328"," âÏì³ã¼áæ÷çÏ¡íÙãøÔ×47 ","05608 âÏì³ã¼áæ÷çÏ¡ß²ùÊŞÍÖØ136 ","+86-2-412-0190","","24á³ãÁ","","îïÒ´ÙíıÌ","ò¢ôÑ2/8ûÜàÊ íÙãøó× 2ûÜõóÏ¢,  280m"
"16489","zh-CN","à´õ½ûÉå¨ÌØ","https://chinese.visitseoul.net/nature/à´õ½ûÉîÜå¨ÌØ/CNP016328?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP016328"," âÏì³ã¼áæ÷ç?œüãøÔ×47 ","05608 âÏ?áæ÷ç?ß²?ŞÍÖØ136£¨œüãøÔ×£© ","+82-2-412-0190","","","","","ò¢?2/8?? œüãøó× 2?õóÏ¢,  280m"
"29924","zh-CN","Ü¡??ÙÊ?","https://chinese.visitseoul.net/nature/Ü¡??ÙÊ?/CNP029796?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP029796","152-140 âÏ?ã¼ÎúÖÕ?ùşÔ×31 ","08361 âÏ?ã¼ÎúÖÕ??Ô×ÖØ240 (ùşÔ×) ","+82-2-2686-3200","http://parks.seoul.go.kr/template/sub/pureun.do","05:00~22:00 (KST) ¡Øå´éç?îğüÀ???Ê¦Òöêóá¶??","Øßô¸","","ò¢?1?? ?ÍÛó× 1?õóÏ¢, éÍ?ÍÛó×Ñõİ»ÍëÎß?ó×÷³ã«6615ò¨?ÍëÎß?£¬ò¸Ü¡??ÙÊ?ÍëÎß?ó×,  187m"
"28396","zh-TW","ŞäòÃÍëê®","https://tchinese.visitseoul.net/nature/ŞäòÃÍëê®/TCP028280?utm_source=seoulopendata&utm_medium=nature&utm_content=TCP028280","110-054 âÏì³ã¼ñ£ÖØÏ¡ŞäòÃÔ×1-28 ","03027 âÏì³ã¼ñ£ÖØÏ¡ŞäòÃÖØ9Ê¶5 (ŞäòÃÔ×) ","+82-2-2148-2835","https://tchinese.seoul.go.kr/Ü×Ùâ/Ùşûù/Íëê®Öàò¢/?pidx=4","","","îïÒ´ÙíıÌ","ò¢ôÑ3ûÜàÊ ÌØÜØÏàó× 1ûÜõóÏ¢,  337m"
"11396","zh-CN","ÔÀ??Ë°Íë?","https://chinese.visitseoul.net/nature/ÔÀ??Ë°Íë?/CNP011395?utm_source=seoulopendata&utm_medium=nature&utm_content=CNP011395"," âÏ??òĞ?í¹?3Ô× 704-1"," âÏ?÷å?ã¼?òĞ?í¹?Ô×428? ","+82-2-3780-0521","","24á³?","","","ò¢?7?? í¹?ó×  2?õóÏ¢,  192m"
"22798","ja","«ä«ó«¸«§«Á«ç«ó(ÕŞî¦ô¹)&«¿«ó«Á«ç«ó(÷©ô¹)","https://japanese.visitseoul.net/nature/yangjaecheon-tancheon-jp/JPP002429?utm_source=seoulopendata&utm_medium=nature&utm_content=JPP002429","135-090 ÕŞî¦ô¹(«½«¦«ëã¼Ë°Ñõ?ÓŞö¹Ô×)¡¢÷©ô¹(«½«¦«ëã¼áæ÷ç?ß²ï£Ô×) "," «ä«ó«¸«§«Á«ç«ó(ÕŞî¦ô¹)(«½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«Æ«Á«É«ó(ÓŞö¹Ô×))¡¢«¿«ó«Á«ç«ó(÷©ô¹)(«½«¦«ëã¼«½«ó«Ñ(áæ÷ç)?«µ«à«¸«ç«ó«É«ó(ß²ï£Ô×)) ","+82-2-2155-7153","http://www.seocho.go.kr/site/seocho/04/10405011000002015070703.jsp","","","","ò¢ù»?«¹«¤«ó¡¤«Ö«ó«À«ó(â©ìÒ¡¤İÎÓĞ)/6?àÊ¡¸«È«´«¯¡¹?4ÛãõóÏ¢, 564m"
